Loading test module... 

 Iteration 566, time: 36192.000000

 Iteration 567, time: 35996.000000

 Iteration 568, time: 36064.000000

 Iteration 569, time: 36500.000000

 Iteration 570, time: 36060.000000

 Iteration 571, time: 36864.000000

 Iteration 572, time: 36368.000000

 Iteration 573, time: 36292.000000

 Iteration 574, time: 35960.000000

 Iteration 575, time: 36240.000000

 Iteration 576, time: 36112.000000

 Iteration 577, time: 35984.000000

 Iteration 578, time: 36060.000000

 Iteration 579, time: 35752.000000

 Iteration 580, time: 35968.000000

 Iteration 581, time: 35904.000000

 Iteration 582, time: 36048.000000

 Iteration 583, time: 35660.000000

 Iteration 584, time: 36140.000000

 Iteration 585, time: 35916.000000

 Iteration 586, time: 35984.000000

 Iteration 587, time: 35836.000000

 Iteration 588, time: 35836.000000

 Iteration 589, time: 35944.000000

 Iteration 590, time: 35812.000000

 Iteration 591, time: 35788.000000

 Iteration 592, time: 35988.000000

 Iteration 593, time: 35824.000000

 Iteration 594, time: 36016.000000

 Iteration 595, time: 35892.000000

 Iteration 596, time: 36284.000000

 Iteration 597, time: 36156.000000

 Iteration 598, time: 35792.000000

 Iteration 599, time: 35944.000000

 Iteration 600, time: 36024.000000

 Iteration 601, time: 36756.000000

 Iteration 602, time: 35616.000000

 Iteration 603, time: 36032.000000

 Iteration 604, time: 35828.000000

 Iteration 605, time: 35928.000000

 Iteration 606, time: 35832.000000

 Iteration 607, time: 35772.000000

 Iteration 608, time: 35800.000000

 Iteration 609, time: 35980.000000

 Iteration 610, time: 35848.000000

 Iteration 611, time: 35944.000000

 Iteration 612, time: 35792.000000

 Iteration 613, time: 36196.000000

 Iteration 614, time: 35772.000000

 Iteration 615, time: 35880.000000

 Iteration 616, time: 36336.000000

 Iteration 617, time: 35732.000000

 Iteration 618, time: 36200.000000

 Iteration 619, time: 36224.000000

 Iteration 620, time: 36376.000000

 Iteration 621, time: 35904.000000

 Iteration 622, time: 36048.000000

 Iteration 623, time: 35908.000000

 Iteration 624, time: 35940.000000

 Iteration 625, time: 35836.000000

 Iteration 626, time: 35996.000000

 Iteration 627, time: 35856.000000

 Iteration 628, time: 36192.000000

 Iteration 629, time: 35880.000000

 Iteration 630, time: 36048.000000

 Iteration 631, time: 35840.000000

 Iteration 632, time: 35632.000000

 Iteration 633, time: 36324.000000

 Iteration 634, time: 35948.000000

 Iteration 635, time: 36156.000000

 Iteration 636, time: 35936.000000

 Iteration 637, time: 36172.000000

 Iteration 638, time: 36212.000000

 Iteration 639, time: 36016.000000

 Iteration 640, time: 35924.000000

 Iteration 641, time: 36120.000000

 Iteration 642, time: 35960.000000

 Iteration 643, time: 36092.000000

 Iteration 644, time: 36856.000000

 Iteration 645, time: 35928.000000

 Iteration 646, time: 35840.000000

 Iteration 647, time: 36460.000000

 Iteration 648, time: 35992.000000

 Iteration 649, time: 35772.000000

 Iteration 650, time: 35876.000000

 Iteration 651, time: 36120.000000

 Iteration 652, time: 36172.000000

 Iteration 653, time: 35848.000000

 Iteration 654, time: 35940.000000

 Iteration 655, time: 36016.000000

 Iteration 656, time: 156176.000000

 Iteration 657, time: 96960.000000

 Iteration 658, time: 36544.000000

 Iteration 659, time: 36840.000000

 Iteration 660, time: 36428.000000

 Iteration 661, time: 36488.000000

 Iteration 662, time: 35972.000000

 Iteration 663, time: 36452.000000

 Iteration 664, time: 36040.000000

 Iteration 665, time: 35936.000000

 Iteration 666, time: 35752.000000

 Iteration 667, time: 35964.000000

 Iteration 668, time: 35804.000000

 Iteration 669, time: 35912.000000

 Iteration 670, time: 35936.000000

 Iteration 671, time: 35924.000000

 Iteration 672, time: 35816.000000

 Iteration 673, time: 35892.000000

 Iteration 674, time: 36112.000000

 Iteration 675, time: 35824.000000

 Iteration 676, time: 36024.000000

 Iteration 677, time: 35960.000000

 Iteration 678, time: 36556.000000

 Iteration 679, time: 35872.000000

 Iteration 680, time: 36100.000000

 Iteration 681, time: 36068.000000

 Iteration 682, time: 35736.000000

 Iteration 683, time: 36304.000000

 Iteration 684, time: 36452.000000

 Iteration 685, time: 36100.000000

 Iteration 686, time: 36520.000000

 Iteration 687, time: 36100.000000

 Iteration 688, time: 36048.000000

 Iteration 689, time: 35888.000000

 Iteration 690, time: 36244.000000

 Iteration 691, time: 36412.000000

 Iteration 692, time: 36160.000000

 Iteration 693, time: 36024.000000

 Iteration 694, time: 35860.000000

 Iteration 695, time: 36012.000000

 Iteration 696, time: 36252.000000

 Iteration 697, time: 36120.000000

 Iteration 698, time: 35852.000000

 Iteration 699, time: 36084.000000

 Iteration 700, time: 36124.000000

 Iteration 701, time: 35936.000000

 Iteration 702, time: 35892.000000

 Iteration 703, time: 36232.000000

 Iteration 704, time: 35832.000000

 Iteration 705, time: 36164.000000

 Iteration 706, time: 36068.000000

 Iteration 707, time: 35864.000000

 Iteration 708, time: 36080.000000

 Iteration 709, time: 36052.000000

 Iteration 710, time: 36112.000000

 Iteration 711, time: 36168.000000

 Iteration 712, time: 36156.000000

 Iteration 713, time: 36276.000000

 Iteration 714, time: 35932.000000

 Iteration 715, time: 35928.000000

 Iteration 716, time: 35980.000000

 Iteration 717, time: 35868.000000

 Iteration 718, time: 36544.000000

